Mensaje,Ronda,Escenario,Prioridad,Canal,Cart Value,Latencia (ms)
M-055,2,F-24,ALTA,Telegram,200000,3615
M-056,2,B70-05,BAJA,Email,128000,3389
M-057,2,F-20,MEDIA,Email,160000,3417
M-058,1,B40-01,BAJA,Email,64000,2163
M-059,2,B40-05,MEDIA,Email,80000,3348
M-060,1,exec-89,MEDIA,Email,110000,4559
M-061,2,F-13,MEDIA,Email,120000,3954
M-062,1,F-19,MEDIA,Email,160000,3206
M-063,1,F-07,BAJA,Email,80000,2655
M-064,1,exec-84,BAJA,Email,64000,2958
M-065,2,F-08,MEDIA,Email,80000,3896
M-066,1,F-06,BAJA,Email,80000,2541
M-067,1,exec-94,ALTA,Telegram,160000,3961
M-068,2,exec-157,BAJA,Email,120000,2929
M-069,1,F-21,MEDIA,Email,200000,3548
M-070,1,exec-98,MEDIA,Email,100000,3934
M-071,1,B40-03,MEDIA,Email,72000,2769
M-072,1,F-13,MEDIA,Email,120000,3875
M-073,2,F-18,ALTA,Telegram,160000,3965
M-074,1,F-12,MEDIA,Email,120000,3447
M-075,1,B70-04,ALTA,Telegram,124000,3042
M-076,2,F-22,ALTA,Telegram,200000,3766
M-077,1,F-04,BAJA,Email,40000,2700
M-078,1,F-15,ALTA,Telegram,120000,4211
M-079,1,exec-86,MEDIA,Email,180000,4957
M-080,1,exec-91,ALTA,Telegram,200000,3861
M-081,1,F-14,MEDIA,Email,120000,3852
M-082,1,F-23,ALTA,Telegram,200000,3101
M-083,1,F-01,BAJA,Email,40000,2810
M-084,2,exec-151,BAJA,Email,24000,2955
M-085,2,B70-04,BAJA,Email,124000,2894
M-086,1,F-05,MEDIA,Email,40000,5008
M-087,2,exec-146,MEDIA,Email,69000,3224
M-088,1,F-08,MEDIA,Email,80000,4972
M-089,2,exec-139,MEDIA,Email,64000,3237
M-090,1,B70-01,MEDIA,Email,112000,2892
M-091,1,F-02,BAJA,Email,40000,2585
M-092,1,exec-83,BAJA,Email,69000,3422
M-093,2,F-19,ALTA,Telegram,160000,3994
M-094,1,exec-87,BAJA,Email,40000,2643
M-095,2,F-12,MEDIA,Email,120000,3035
M-096,1,exec-99,MEDIA,Email,49000,4271
M-097,1,F-22,MEDIA,Email,200000,3535
M-098,1,B40-05,MEDIA,Email,80000,4160
M-099,1,F-16,MEDIA,Email,160000,5036
M-100,2,F-10,BAJA,Email,80000,3882
M-101,1,B70-03,ALTA,Telegram,120000,3221
M-102,2,F-02,BAJA,Email,40000,3088
M-103,1,B70-02,MEDIA,Email,116000,3244
M-104,2,F-25,MEDIA,Email,200000,4000
M-105,2,exec-141,MEDIA,Email,110000,3360
M-106,2,exec-150,MEDIA,Email,160000,3873
M-107,1,B40-02,BAJA,Email,68000,1947
M-108,1,exec-93,ALTA,Telegram,200000,3466
M-109,1,F-25,ALTA,Telegram,200000,3617
M-110,1,B40-04,MEDIA,Email,76000,3014
